date,symbol,root,settle
2015-02-03,GF.V.0,GF,199.175
2015-02-03,HE.V.0,HE,70.4
2015-02-03,HG.V.0,HG,2.576
2015-02-03,LE.V.0,LE,150.275
2015-02-03,PL.V.0,PL,1234.6
2015-02-03,RB.V.0,RB,1.5803
2015-02-03,SI.V.0,SI,17.285
2015-02-03,ZC.V.0,ZC,385.5
2015-02-03,ZL.V.0,ZL,30.75
2015-02-03,ZM.V.0,ZM,340.1
2015-02-03,ZR.V.0,ZR,10.375
2015-02-03,ZS.V.0,ZS,985.25
2015-02-04,CL.V.0,CL,48.63
2015-02-04,GC.V.0,GC,1272.8
2015-02-04,GF.V.0,GF,196.45
2015-02-04,HE.V.0,HE,67.875
2015-02-04,HG.V.0,HG,2.587
2015-02-04,LE.V.0,LE,148.9
2015-02-04,PL.V.0,PL,1245.0
2015-02-04,RB.V.0,RB,1.4998
2015-02-04,SI.V.0,SI,17.4
2015-02-04,ZC.V.0,ZC,383.5
2015-02-04,ZL.V.0,ZL,30.59
2015-02-04,ZM.V.0,ZM,332.4
2015-02-04,ZR.V.0,ZR,10.25
2015-02-04,ZS.V.0,ZS,972.5
2015-02-05,CL.V.0,CL,51.29
2015-02-05,GC.V.0,GC,1265.7
2015-02-05,GF.V.0,GF,196.875
2015-02-05,HE.V.0,HE,66.625
2015-02-05,HG.V.0,HG,2.595
2015-02-05,LE.V.0,LE,148.55
2015-02-05,PL.V.0,PL,1250.8
2015-02-05,RB.V.0,RB,1.537
2015-02-05,SI.V.0,SI,17.245
2015-02-05,ZC.V.0,ZC,384.75
2015-02-05,ZL.V.0,ZL,31.68
2015-02-05,ZM.V.0,ZM,331.6
2015-02-05,ZR.V.0,ZR,10.475
2015-02-05,ZS.V.0,ZS,981.25
2015-02-06,CL.V.0,CL,52.34
2015-02-06,GC.V.0,GC,1233.3
2015-02-06,GF.V.0,GF,200.15
2015-02-06,HE.V.0,HE,68.95
2015-02-06,HG.V.0,HG,2.589
2015-02-06,LE.V.0,LE,151.025
2015-02-06,PL.V.0,PL,1222.5
2015-02-06,RB.V.0,RB,1.565
2015-02-06,SI.V.0,SI,16.715
2015-02-06,ZC.V.0,ZC,385.75
2015-02-06,ZL.V.0,ZL,31.82
2015-02-06,ZM.V.0,ZM,329.7
2015-02-06,ZR.V.0,ZR,10.75
2015-02-06,ZS.V.0,ZS,974.0
2015-02-08,CL.V.0,CL,52.72
2015-02-08,GC.V.0,GC,1238.1
2015-02-08,HG.V.0,HG,2.5825
2015-02-08,PL.V.0,PL,1228.3
2015-02-08,RB.V.0,RB,1.5843
2015-02-08,SI.V.0,SI,16.74
2015-02-09,CL.V.0,CL,52.48
2015-02-09,GC.V.0,GC,1238.6
2015-02-09,GF.V.0,GF,203.825
2015-02-09,HE.V.0,HE,66.7
2015-02-09,HG.V.0,HG,2.579
2015-02-09,LE.V.0,LE,154.225
2015-02-09,PL.V.0,PL,1219.1
2015-02-09,RB.V.0,RB,1.5786
2015-02-09,SI.V.0,SI,16.99
2015-02-09,ZC.V.0,ZC,391.5
2015-02-09,ZL.V.0,ZL,31.96
2015-02-09,ZM.V.0,ZM,330.3
2015-02-09,ZR.V.0,ZR,10.46
2015-02-09,ZS.V.0,ZS,979.25
2015-02-10,CL.V.0,CL,50.75
2015-02-10,GC.V.0,GC,1233.3
2015-02-10,GF.V.0,GF,201.9
2015-02-10,HE.V.0,HE,66.025
2015-02-10,HG.V.0,HG,2.546
2015-02-10,LE.V.0,LE,153.775
2015-02-10,PL.V.0,PL,1208.4
2015-02-10,RB.V.0,RB,1.5581
2015-02-10,SI.V.0,SI,16.895
2015-02-10,ZC.V.0,ZC,388.25
2015-02-10,ZL.V.0,ZL,31.5
2015-02-10,ZM.V.0,ZM,326.5
2015-02-10,ZR.V.0,ZR,10.265
2015-02-10,ZS.V.0,ZS,969.25
2015-02-11,CL.V.0,CL,49.25
2015-02-11,GC.V.0,GC,1220.4
2015-02-11,GF.V.0,GF,198.4
2015-02-11,HE.V.0,HE,64.7
2015-02-11,HG.V.0,HG,2.543
2015-02-11,LE.V.0,LE,151.225
2015-02-11,PL.V.0,PL,1198.2
2015-02-11,RB.V.0,RB,1.5486
2015-02-11,SI.V.0,SI,16.81
2015-02-11,ZC.V.0,ZC,385.75
2015-02-11,ZL.V.0,ZL,31.78
2015-02-11,ZM.V.0,ZM,329.1
2015-02-11,ZR.V.0,ZR,10.4
2015-02-11,ZS.V.0,ZS,978.0
2015-02-12,CL.V.0,CL,51.24
2015-02-12,GC.V.0,GC,1223.4
2015-02-12,GF.V.0,GF,200.7
2015-02-12,HE.V.0,HE,64.25
2015-02-12,HG.V.0,HG,2.602
